Kennziffer;Raumeinheit;Aggregat;Ausgaben für Sachinvestitionen;Kinderarmut
"05562";"Recklinghausen";"Landkreis";"130,8";"25,1"
"05566";"Steinfurt";"Landkreis";"310,0";"11,0"
"05570";"Warendorf";"Landkreis";"256,4";"12,1"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"45,4";"22,7"
"05754";"Gütersloh";"Landkreis";"299,3";"9,6"
"05758";"Herford";"Landkreis";"159,5";"14,4"
"05762";"Höxter";"Landkreis";"205,0";"9,4"
"05766";"Lippe";"Landkreis";"248,8";"15,1"
"05770";"Minden-Lübbecke";"Landkreis";"159,2";"14,6"
"05774";"Paderborn";"Landkreis";"230,6";"12,8"
"05911";"Bochum, Stadt";"krsfr. Stadt";"244,3";"27,1"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"113,5";"30,8"
"05914";"Hagen, Stadt";"krsfr. Stadt";"105,8";"30,5"
"05915";"Hamm, Stadt";"krsfr. Stadt";"173,1";"19,8"
"05916";"Herne, Stadt";"krsfr. Stadt";"142,6";"30,7"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"119,1";"17,5"
"05958";"Hochsauerlandkreis";"Landkreis";"208,8";"10,6"
"05962";"Märkischer Kreis";"Landkreis";"156,7";"16,2"
"05966";"Olpe";"Landkreis";"216,1";"9,2"
"05970";"Siegen-Wittgenstein";"Landkreis";"136,2";"12,8"
"05974";"Soest";"Landkreis";"248,6";"11,8"
"05978";"Unna";"Landkreis";"168,2";"20,1"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"181,4";"20,8"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"281,3";"20,1"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"214,8";"29,4"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"173,4";"23,3"
"06431";"Bergstraße";"Landkreis";"191,4";"10,9"
"06432";"Darmstadt-Dieburg";"Landkreis";"174,4";"11,3"
"06433";"Groß-Gerau";"Landkreis";"304,4";"17,1"
"06434";"Hochtaunuskreis";"Landkreis";"497,2";"9,2"
"06435";"Main-Kinzig-Kreis";"Landkreis";"207,4";"13,6"
"06436";"Main-Taunus-Kreis";"Landkreis";"220,0";"9,5"
"06437";"Odenwaldkreis";"Landkreis";"193,6";"12,8"
"06438";"Offenbach";"Landkreis";"135,6";"14,1"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"181,2";"10,9"
"06440";"Wetteraukreis";"Landkreis";"235,1";"10,5"
"06531";"Gießen";"Landkreis";"288,3";"15,5"
